TA100-12890,NG12 Sky-4 (A02 comp) JBM
TA100-12850,NG12 Tarmac cooling (SKY-2/sky-5) A02 comp
BOM awaited,NG12 Tarmac cooling / A02 comp for DICV proto
TA100-12870,NG12 Cool ( Low Floor) 
TA100-13060,NG12 BC (EKA)/ION with emerson comp & TMCS(12Mtr)
TA100-12860,NG12 Cool (High Floor)/A02 Comp
TA100-12970,NG12 OGL ( A02 comp)
TA100-12820,NG12 heating & cooling (SKY-3 / Sky-1) JBM (Emerson Comp)
TA100-12710,EL 430 MF OGL/225comp
TA100-12990,EL 430 GC (with mfc/225 com)/BLDC spal
TA109-10150,EL 430 GC ( with MFC Green Cell (comp 225)/CKD/BLDC
TA100-10340,EL430 with copper cond /comp 225
TA100-12480,Floor heater SKY ONE HTR (VECV)/ IH 302106
TA100-12120,Floor heater 2 HTR (VECV)/ IH 301872
TA100-13090,"Floor heater ONE HTR,EURO-5 (VECV) / IH 302568"
TA450-10240,Demister Assembly 12 v SML
TA100-12320,DDEV-52
TA100-11120,A 210 RT
TA100-13070,TC-20/Bharat forge)
TA100-12960,T2 SWBEV (NG07BC) / FML
TA180-15140,TCS for Ac SLE 200BC
TA140-11010,AC with BCS (SLE200BC)/7Mtr E-Bus
TA450-10750,Demister for (SLE 200BC)
TA100-12950,Tatra
TA100-13130,Demister JBM (NAC/Compact)
TA100-13350,PMI demister
TA100-13270,NG 09 V.V
TA100-13340,NG 10 V.V.
TA100-13330,NG12 V.V
TA100-13180,BCS  (BC-207 PMI)
TA180-15090,Traction Cooling System / Pinnacle mobility/ION (9mtr)
TA100-13460,EL-538 ULE Bock Comp.
TA100-13480,EL-538 MY-24 Bock Comp.
TA100-13470,"EL-538 Defence,Bock Comp."
